,Count
Simon and Schuster,13
Penguin,5
Center Street,4
HarperCollins,3
Anchor,3
Macmillan + ORM,2
Thomas Nelson,2
Prometheus Books,1
Presidio Press,1
Thomas Dunne Books,1
Hachette Books,1
Random House Trade Paperbacks,1
"Sterling Publishing Company, Inc.",1
Fusion Books,1
Random House,1
Regnery Publishing,1
ABDO,1
Crown,1
Basic Books,1
Doubleday Canada,1
