,Count
2022-03,2
2022-04,6
2022-05,2
2022-06,2
2022-09,2
2022-11,2
2023-01,2
2023-03,2
2023-05,2
2023-06,3
2023-07,3
2023-08,3
2023-10,3
2023-11,3
2023-12,2
2024-01,4
2024-03,3
2024-05,2
2024-06,1
2024-07,2
2024-09,2
2024-10,2
2024-12,2
